Les premières civilisations	IIIème milénaire av.JC
Homère,fondation de Rome,début de l'écriture de la Bible	VIIIème siècle av. JC
Périclès	Vème siècle av.JC
Vercingétorix,Jules César, Alésia	52 av. JC
Début du christiannisme	Ier siècle
Paix romaine	Ier-II siècle
L'Hégire	622
couronnement de Charlemagne	800
âge des églises romanes	Xème-XIIème siècles
les premières croisades	1096-1099
âge des églises gothiques	XIIème-XVème siècles
premier voyage de Christophe Colomb	1492
La Renaissance	XVème-XVIème siècles
L'édit de Nantes	1598
Louis XIV,Versailles	1661-1715
Encyclopédie	Millieu du XVIIIème siècle
Révolution Française	1789-1799
prise de la Bastide	14 juillet 1789
DDHC	août 1789
Proclamation de la République	septembre 1792
Le Consulat et l'Empire	1799-1815
Napoléon 1er empereur des Français	1804
Le congrès de Vienne	1815
Monarchie Constitutionnelle en France	1815-1848
Seconde République	1848-1852
établissement du suffrage universel masculin,abolition de l'esclavage	1848
Le Second Empire (Napoléon III)	1852-1870
La Troisième République	1870-1940
Jules Ferry et l'école gratuite,laïque et obligatoire	1882
Affaire Dreyfus	1894-1906
Loi de séparation des Eglises et de l'Etat	1905
Première GM	1914-1918
Verdun	1916
Armistice de la Grande Guerre (GM 1)	11 novembre 1918
Révolution Russe	1917
Staline au pouvoir	1924-1953
Hitler au pouvoir	1933-1945
Victoire électorale et lois sociales du Front Populaire	1936
Seconde GM	1939-1945
fin de la seconde GM en Europe	8 mai 1945
Hiroshima et Nagasaki	août 1945
Appel du général de Gaulle	18 juin 1940
Le Régime de Vichy	1940-1944
Libération de la France,rétablissement de la République (IVème),droit de vote des femmes,Sécurité Sociale	1944-1945
Le Mur de Berlin	1961-1989
Principales phases de la décolonisation	1947-1952
Les traités de Rome	1957
Les années de Gaulle	1958-1969
fondation de la Vème République	1958
les années Mitterrant	1981-1995
Traité de Maastricht	1992
Les années Chirac	1995-2007
L'euro monnaie européenne	2002
